Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.01180614;12.631;11.331;68.493
0.005695939;41.598;9.859;40.565
0.0008285006;3.910;21.151;95.763
0.000724938;85.820;15.852;67.260
0.0001035626;12.631;51.382;68.493
0.003417564;16.026;6.526;83.248
0.001242751;19.304;1.163;85.242
0.001242751;80.541;10.909;64.235
0.002899752;16.630;8.011;89.363
0.002899752;3.394;6.210;47.074
0.0006213754;4.008;5.011;71.078
0.01077051;11.765;17.152;68.996
0.0001035626;51.630;25.328;65.510
0.0001035626;6.319;72.782;97.900
0.001553439;10.225;31.467;93.036
0.002278377;9.485;49.184;83.057
0.0006213754;3.291;16.632;58.460
0.0006213754;4.147;23.110;43.834
0.01056339;6.159;3.526;62.033
0.01936624;5.929;14.272;86.958
0.0006213754;8.216;56.573;75.270
0.001760564;8.753;8.900;41.885
0.001242751;60.288;28.580;52.029
0.01553441;4.739;71.216;38.888
0.001864127;33.160;1.602;79.914
0.005695939;80.541;10.909;64.235
0.0008285006;3.910;21.151;95.763
0.001242751;4.074;1.163;85.242
0.01014913;13.354;9.737;76.280
0.01822704;11.844;35.013;80.225
0.0004142503;11.844;64.579;80.225
0.0005178128;3.448;16.097;97.048
0.005074564;13.354;9.737;71.729
0.0008285006;2.487;9.047;89.000
0.0006213754;7.237;39.344;88.551
0.002692627;3.448;16.097;97.048
0.002381939;3.448;16.097;97.048
0.003106877;6.319;51.504;97.900
0.0006213754;6.319;56.752;97.900
0.003624689;4.739;7.827;85.141
0.001657001;29.961;2.459;29.152
0.000724938;2.408;21.100;82.196
0.001449876;6.319;51.504;89.611
0.001553439;11.844;64.579;80.225
0.0005178128;12.631;11.331;68.493
0.0004142503;6.319;51.504;97.900
0.007560063;5.929;14.272;86.958
0.002071252;85.820;3.839;92.922
0.000724938;5.319;86.876;72.970
0.001864127;38.253;1.602;79.914
0.000724938;14.607;29.146;87.172
0.002692627;3.394;6.210;40.355
0.002071252;3.291;16.632;58.460
0.005903063;12.631;11.331;68.493
0.001760564;3.394;6.210;40.355
0.001657001;14.607;3.052;87.172
0.007456501;32.226;14.272;86.958
0.006938688;12.491;9.781;92.429
0.004971001;88.088;38.373;83.344
0.01211683;11.844;13.664;80.225
0.003417564;25.561;6.526;83.248
0.0004142503;3.910;37.855;95.763
0.002381939;13.354;9.737;71.729
0.004349627;66.498;20.724;94.188
0.005074564;13.354;9.737;71.729
0.001864127;13.551;21.197;76.629
0.0009320632;10.225;16.273;93.036
0.009527756;9.485;18.389;83.057
0.002174814;5.383;5.347;30.031
0.003521126;7.643;66.360;87.945
0.002796189;66.297;5.350;92.790
0.0009320632;3.448;16.097;97.048
0.001553439;3.394;6.210;53.226
0.0006213754;88.366;1.163;85.242
0.002485502;3.448;16.097;97.048
0.002589064;2.487;9.047;89.000
0.002278377;3.394;44.102;40.355
0.004660314;8.753;8.900;41.885
0.002692627;2.408;21.100;82.196
0.007560063;12.631;11.331;68.493
0.001657001;6.159;17.777;62.033
0.001139188;4.739;71.216;85.141
0.005903063;12.631;11.331;68.493
0.000724938;3.448;16.097;97.048
0.003624689;18.614;6.899;64.128
0.002278377;3.910;21.151;95.763
0.0006213754;37.308;1.031;79.076
0.005178126;6.319;12.192;97.900
0.004142501;2.487;9.047;58.852
0.0008285006;11.844;64.579;80.225
0.003417564;33.754;9.737;71.729
0.01014913;12.631;11.331;48.174
0.005903063;12.631;11.331;68.493
0.001864127;2.487;9.047;57.494
0.0005178128;10.225;31.467;93.036
0.0001035626;11.844;64.579;71.371
0.009631319;17.491;9.781;92.429
0.001242751;4.008;5.011;71.078
0.001864127;42.161;1.163;85.242
0.001242751;24.214;1.163;85.242
0.001035626;14.607;29.146;87.172
0.001139188;3.910;21.151;95.763
0.0009320632;3.394;6.210;40.355
0.002796189;38.253;1.602;79.914
0.005074564;70.591;9.737;71.729
0.01512016;14.607;29.146;88.529
0.003417564;25.561;6.526;54.628
0.005799501;88.088;11.037;83.344
0.006213751;8.753;5.903;41.885
0.002899752;3.910;21.151;95.763
0.006524439;51.630;25.328;65.510
0.004246064;17.008;8.011;89.363
0.001760564;3.910;21.151;41.545
0.004038939;10.225;2.524;93.036
0.006628001;9.485;47.434;83.057
0.002899752;83.174;25.328;65.510
0.0002071251;14.607;29.146;87.172
0.000724938;8.753;8.900;41.885
0.001657001;13.354;9.737;55.811
0.002278377;7.237;39.344;92.191
0.004971001;44.906;13.161;53.900
0.002692627;8.216;14.013;75.270
0.002278377;3.394;6.210;40.355
0.001657001;10.030;64.579;80.225
Best fitness score = 0.02671921
Fitness sum =  1931.2

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.00229677;2.811;8.744;89.000
0.00229677;56.693;6.526;68.493
0.001809577;3.910;39.761;97.900
0.0002783964;11.844;21.100;86.958
0.001113586;4.739;3.839;24.325
0.001322383;4.074;39.344;80.436
0.0002087973;8.216;8.011;40.355
0.003688751;8.216;8.011;40.355
0.002227171;25.561;6.210;88.551
0.001391983;3.448;2.280;75.270
0.001391983;3.394;14.013;86.958
0.001739978;7.624;5.485;71.729
0.0004871938;5.320;29.146;75.270
0.0009743877;3.910;14.013;97.307
0.0009743877;2.408;6.526;68.493
0.002087973;5.929;8.900;96.770
0.003201558;21.185;9.047;86.958
0.001879176;33.754;5.350;95.763
0.001113586;2.487;9.737;85.242
0.008699898;2.487;6.526;88.147
0.003967148;3.448;3.526;97.962
0.0004175947;5.929;6.210;38.888
0.0009047886;4.739;3.839;47.074
0.002923162;5.383;5.347;87.172
0.002227171;16.630;6.210;28.493
0.002923162;8.216;14.272;83.057
0.001461582;3.910;39.761;97.900
0.0009047886;9.485;32.272;75.270
0.0004175947;11.844;52.790;86.958
0.0007655903;8.216;51.504;83.344
0.001252784;3.910;18.200;40.565
0.002923162;8.207;1.163;97.900
0.007099112;4.739;17.152;71.729
0.001879176;3.291;29.146;46.867
0.00306236;32.297;8.744;89.000
0.001113586;3.910;9.737;30.031
0.001113586;8.450;44.102;87.172
0.007586308;8.216;14.272;83.057
0.001461582;3.910;8.011;93.444
0.001391983;41.598;3.839;75.270
0.001252784;11.844;21.100;86.958
0.0004175947;7.643;6.210;76.280
0.001670379;60.288;9.781;95.763
0.007655907;11.125;10.909;89.363
0.002435968;4.739;3.839;47.074
0.004106346;4.739;23.110;79.914
0.0008351895;3.910;9.737;30.031
0.0002783964;4.739;23.110;54.041
0.004454341;16.630;6.210;95.763
0.001322383;3.910;16.343;86.958
0.007099112;10.225;6.729;83.057
0.002505567;4.739;3.839;47.074
0.0002087973;8.216;8.011;40.355
0.003479954;44.906;9.859;28.939
0.002227171;72.167;14.013;86.958
0.001879176;3.448;29.146;92.429
6.959911E-05;7.932;39.344;87.172
0.006403118;13.354;9.047;97.900
0.005915923;8.216;7.525;71.729
0.001043987;3.448;9.896;40.355
0.003479954;14.477;9.859;40.355
0.0004175947;3.910;39.761;97.900
0.001809577;8.753;15.852;71.078
0.003131959;12.631;8.900;38.740
0.001043987;4.008;21.151;97.048
0.002644765;13.354;9.047;86.958
0.0002783964;4.008;21.151;97.048
0.0008351895;6.319;66.602;93.036
0.002644765;8.216;16.097;69.453
0.001670379;85.362;5.485;71.729
0.001948775;98.824;17.777;87.172
0.005289529;13.354;7.557;64.235
0.003967148;12.631;11.331;68.493
0.001948775;18.614;14.013;82.374
