Generasi 1;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
16.600;4.858;6.091;90.005;0.023;0.327
11.400;3.248;6.091;94.356;0.016;0.343
5.600;3.248;6.091;94.356;0.008;0.350
18.800;4.858;18.729;94.356;0.026;0.377
13.400;4.858;18.454;59.148;0.019;0.395
4.400;3.713;6.091;32.320;0.006;0.402
12.400;4.858;6.091;90.005;0.017;0.419
3.400;3.248;6.091;94.356;0.005;0.424
11.400;3.248;6.091;94.356;0.016;0.440
6.800;4.858;18.454;94.356;0.009;0.449
6.200;4.858;6.091;75.106;0.009;0.458
3.400;4.858;18.454;94.356;0.005;0.462
4.000;4.858;6.091;91.413;0.006;0.468
5.800;4.858;18.729;94.356;0.008;0.476
11.600;3.248;6.091;94.356;0.016;0.492
8.200;4.858;28.764;94.356;0.011;0.504
3.200;3.248;6.091;94.356;0.004;0.508
3.600;3.248;18.454;78.977;0.005;0.513
9.400;4.858;6.091;77.333;0.013;0.526
2.000;4.858;45.448;93.533;0.003;0.529
6.200;4.858;6.091;81.994;0.009;0.538
11.800;3.248;6.091;94.356;0.016;0.554
6.000;3.248;6.091;94.356;0.008;0.563
6.400;3.248;18.729;32.320;0.009;0.572
10.200;3.248;6.091;94.356;0.014;0.586
18.600;4.858;6.091;90.005;0.026;0.612
1.000;3.248;18.729;32.320;0.001;0.613
18.600;4.858;6.091;90.005;0.026;0.639
5.800;3.248;6.465;94.356;0.008;0.647
5.000;3.248;18.729;32.320;0.007;0.654
6.000;3.248;6.091;94.356;0.008;0.663
18.600;4.858;6.091;90.005;0.026;0.689
5.600;3.248;18.729;32.320;0.008;0.696
16.600;4.858;6.091;81.994;0.023;0.720
0.200;3.248;11.745;81.846;0.000;0.720
11.600;3.248;6.091;94.356;0.016;0.736
3.600;4.858;6.091;81.994;0.005;0.741
5.200;3.248;51.079;94.356;0.007;0.748
4.800;4.858;6.091;90.005;0.007;0.755
37.600;4.858;18.729;94.356;0.052;0.808
6.200;3.248;6.091;94.356;0.009;0.816
5.000;3.248;6.091;94.356;0.007;0.823
4.000;3.248;6.091;90.005;0.006;0.829
14.200;4.858;18.454;94.356;0.020;0.849
16.800;4.858;6.091;90.005;0.023;0.872
18.200;3.248;6.091;90.005;0.025;0.898
4.200;3.248;18.729;32.320;0.006;0.903
3.200;4.858;6.091;90.005;0.004;0.908
66.000;4.858;28.764;94.356;0.092;1.000
Nilai fitness terbaik = 66.00014;;;;;
Total fitness =  716.2001;;;;;
;;;;;
Generasi 6;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
6.200;95.243;6.091;90.005;0.010;0.010
9.600;4.858;6.091;81.846;0.015;0.025
18.800;4.858;18.729;32.320;0.029;0.054
4.200;3.248;6.091;99.461;0.007;0.060
4.000;3.248;18.454;32.320;0.006;0.066
5.200;3.248;18.729;90.005;0.008;0.075
9.400;4.858;6.091;94.356;0.015;0.089
10.800;3.248;6.091;94.356;0.017;0.106
4.000;4.858;18.729;32.320;0.006;0.112
6.400;4.858;18.729;81.846;0.010;0.122
11.800;4.858;6.091;54.571;0.018;0.140
6.000;3.248;6.091;78.977;0.009;0.150
5.600;3.248;6.091;90.005;0.009;0.158
